"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
1379796,1,"Davies, Ronald Norwood","University of North Dakota","A.B.","1927"
1379796,2,"Davies, Ronald Norwood","Georgetown College Law School (now Georgetown University Law Center)","LL.B.","1930"
1379801,1,"Davies, William","Read law",""," "
1393616,1,"Davila, Edward John","San Diego State University","B.A.","1976"
1393616,2,"Davila, Edward John","University of California Hastings College of the Law (now UC College of the Law, San Francisco)","J.D.","1979"
1379806,1,"Davis, Andre Maurice","University of Pennsylvania","B.A.","1971"
1379806,2,"Davis, Andre Maurice","University of Maryland School of Law (now Francis King Carey School of Law)","J.D.","1978"
1379811,1,"Davis, Arthur Marshall","George Washington University Law School","LL.B.","1933"
1394341,1,"Davis, Brian Jordan","Princeton University","B.A.","1974"
1394341,2,"Davis, Brian Jordan","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1980"
1379816,1,"Davis, Charles B.","University of Missouri","A.B.","1902"
1379816,2,"Davis, Charles B.","University of Missouri School of Law","LL.B.","1905"
1379821,1,"Davis, David","Kenyon College","A.B.","1832"
1379821,2,"Davis, David","Read law","","1834"
1379821,3,"Davis, David","New Haven Law School (now Yale Law School)",""," "
1379826,1,"Davis, David Jackson","Yale Law School","LL.B.","1906"
1379831,1,"Davis, Edward Bertrand","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1960"
1379831,2,"Davis, Edward Bertrand","New York University School of Law","LL.M.","1961"
1379836,1,"Davis, John","Harvard College","","1781"
1379836,2,"Davis, John","Read law","","1786"
1393161,1,"Davis, John","University of Paris",""," "
1393161,2,"Davis, John","Heidelberg University, Germany",""," "
